,exchangeCD,calendarDate,isOpen,prevTradeDate,isWeekEnd,isMonthEnd,isQuarterEnd,isYearEnd
88,XSHG,2020-05-19,1,2020-05-18,0,0,0,0
89,XSHG,2020-05-20,1,2020-05-19,0,0,0,0
90,XSHG,2020-05-21,1,2020-05-20,0,0,0,0
91,XSHG,2020-05-22,1,2020-05-21,1,0,0,0
92,XSHG,2020-05-25,1,2020-05-22,0,0,0,0
93,XSHG,2020-05-26,1,2020-05-25,0,0,0,0
94,XSHG,2020-05-27,1,2020-05-26,0,0,0,0
95,XSHG,2020-05-28,1,2020-05-27,0,0,0,0
96,XSHG,2020-05-29,1,2020-05-28,1,1,0,0
97,XSHG,2020-06-01,1,2020-05-29,0,0,0,0
98,XSHG,2020-06-02,1,2020-06-01,0,0,0,0
99,XSHG,2020-06-03,1,2020-06-02,0,0,0,0
100,XSHG,2020-06-04,1,2020-06-03,0,0,0,0
101,XSHG,2020-06-05,1,2020-06-04,1,0,0,0
102,XSHG,2020-06-08,1,2020-06-05,0,0,0,0
103,XSHG,2020-06-09,1,2020-06-08,0,0,0,0
104,XSHG,2020-06-10,1,2020-06-09,0,0,0,0
105,XSHG,2020-06-11,1,2020-06-10,0,0,0,0
106,XSHG,2020-06-12,1,2020-06-11,1,0,0,0
107,XSHG,2020-06-15,1,2020-06-12,0,0,0,0
108,XSHG,2020-06-16,1,2020-06-15,0,0,0,0
109,XSHG,2020-06-17,1,2020-06-16,0,0,0,0
110,XSHG,2020-06-18,1,2020-06-17,0,0,0,0
111,XSHG,2020-06-19,1,2020-06-18,1,0,0,0
112,XSHG,2020-06-22,1,2020-06-19,0,0,0,0
113,XSHG,2020-06-23,1,2020-06-22,0,0,0,0
114,XSHG,2020-06-24,1,2020-06-23,1,0,0,0
115,XSHG,2020-06-29,1,2020-06-24,0,0,0,0
116,XSHG,2020-06-30,1,2020-06-29,0,1,1,0
117,XSHG,2020-07-01,1,2020-06-30,0,0,0,0
118,XSHG,2020-07-02,1,2020-07-01,0,0,0,0
119,XSHG,2020-07-03,1,2020-07-02,1,0,0,0
120,XSHG,2020-07-06,1,2020-07-03,0,0,0,0
121,XSHG,2020-07-07,1,2020-07-06,0,0,0,0
122,XSHG,2020-07-08,1,2020-07-07,0,0,0,0
123,XSHG,2020-07-09,1,2020-07-08,0,0,0,0
124,XSHG,2020-07-10,1,2020-07-09,1,0,0,0
125,XSHG,2020-07-13,1,2020-07-10,0,0,0,0
126,XSHG,2020-07-14,1,2020-07-13,0,0,0,0
127,XSHG,2020-07-15,1,2020-07-14,0,0,0,0
128,XSHG,2020-07-16,1,2020-07-15,0,0,0,0
129,XSHG,2020-07-17,1,2020-07-16,1,0,0,0
130,XSHG,2020-07-20,1,2020-07-17,0,0,0,0
131,XSHG,2020-07-21,1,2020-07-20,0,0,0,0
132,XSHG,2020-07-22,1,2020-07-21,0,0,0,0
133,XSHG,2020-07-23,1,2020-07-22,0,0,0,0
134,XSHG,2020-07-24,1,2020-07-23,1,0,0,0
135,XSHG,2020-07-27,1,2020-07-24,0,0,0,0
136,XSHG,2020-07-28,1,2020-07-27,0,0,0,0
137,XSHG,2020-07-29,1,2020-07-28,0,0,0,0
138,XSHG,2020-07-30,1,2020-07-29,0,0,0,0
139,XSHG,2020-07-31,1,2020-07-30,1,1,0,0
140,XSHG,2020-08-03,1,2020-07-31,0,0,0,0
141,XSHG,2020-08-04,1,2020-08-03,0,0,0,0
142,XSHG,2020-08-05,1,2020-08-04,0,0,0,0
143,XSHG,2020-08-06,1,2020-08-05,0,0,0,0
144,XSHG,2020-08-07,1,2020-08-06,1,0,0,0
145,XSHG,2020-08-10,1,2020-08-07,0,0,0,0
146,XSHG,2020-08-11,1,2020-08-10,0,0,0,0
147,XSHG,2020-08-12,1,2020-08-11,0,0,0,0
148,XSHG,2020-08-13,1,2020-08-12,0,0,0,0
149,XSHG,2020-08-14,1,2020-08-13,1,0,0,0
150,XSHG,2020-08-17,1,2020-08-14,0,0,0,0
151,XSHG,2020-08-18,1,2020-08-17,0,0,0,0
152,XSHG,2020-08-19,1,2020-08-18,0,0,0,0
153,XSHG,2020-08-20,1,2020-08-19,0,0,0,0
154,XSHG,2020-08-21,1,2020-08-20,1,0,0,0
155,XSHG,2020-08-24,1,2020-08-21,0,0,0,0
156,XSHG,2020-08-25,1,2020-08-24,0,0,0,0
157,XSHG,2020-08-26,1,2020-08-25,0,0,0,0
158,XSHG,2020-08-27,1,2020-08-26,0,0,0,0
159,XSHG,2020-08-28,1,2020-08-27,1,0,0,0
160,XSHG,2020-08-31,1,2020-08-28,0,1,0,0
161,XSHG,2020-09-01,1,2020-08-31,0,0,0,0
162,XSHG,2020-09-02,1,2020-09-01,0,0,0,0
163,XSHG,2020-09-03,1,2020-09-02,0,0,0,0
164,XSHG,2020-09-04,1,2020-09-03,1,0,0,0
165,XSHG,2020-09-07,1,2020-09-04,0,0,0,0
166,XSHG,2020-09-08,1,2020-09-07,0,0,0,0
167,XSHG,2020-09-09,1,2020-09-08,0,0,0,0
168,XSHG,2020-09-10,1,2020-09-09,0,0,0,0
169,XSHG,2020-09-11,1,2020-09-10,1,0,0,0
170,XSHG,2020-09-14,1,2020-09-11,0,0,0,0
171,XSHG,2020-09-15,1,2020-09-14,0,0,0,0
172,XSHG,2020-09-16,1,2020-09-15,0,0,0,0
173,XSHG,2020-09-17,1,2020-09-16,0,0,0,0
174,XSHG,2020-09-18,1,2020-09-17,1,0,0,0
175,XSHG,2020-09-21,1,2020-09-18,0,0,0,0
176,XSHG,2020-09-22,1,2020-09-21,0,0,0,0
177,XSHG,2020-09-23,1,2020-09-22,0,0,0,0
178,XSHG,2020-09-24,1,2020-09-23,0,0,0,0
179,XSHG,2020-09-25,1,2020-09-24,1,0,0,0
180,XSHG,2020-09-28,1,2020-09-25,0,0,0,0
