iner_ip,机房,资产编号,资产类别,机柜,U位置,机器型号,SN号,节点,状态,系统,互联网,高速交易,高速行情A,高速行情B,,,,
192.168.10.145,南方中心机房,,,304-M06,U10-11,Dell R740-6246,G0M5D53,5号节点,已回收,centos7.6,10.20.80.39,10.224.123.80,172.16.34.145,172.16.22.145,,,,
192.168.10.184,南方中心机房,,,304-N07,U22-23,Dell R630,JWDGF42,9号节点,,CentOS 7.8,10.20.80.217,10.224.124.220,172.16.34.184,172.16.22.184,,,,
192.168.10.165,南方中心机房,,,304-M01,U3-4,HP DL380,CN702300HL,5号节点,,Ubuntu 18.04.5,10.20.80.76,10.224.123.82,172.16.34.165,172.16.22.165,,,,
192.168.10.166,南方中心机房,,,304-M03,U10,Dell R630,F6BYBP2,5号节点,,Centos7.8,10.20.80.77,10.224.123.83,172.16.34.166,172.16.22.166,,,,
192.168.10.167,南方中心机房,,,304-M01,U10-11,腾闪HFT-91246F,TS18C2020062006,5号节点,,centos7.7,10.20.80.78,10.224.123.84,172.16.34.167,172.16.22.167,,,,
192.168.10.168,南方中心机房,,,304-M06,U7-8,DELL R630,DMQLN62,5号节点,,Ubuntu16.04.3,10.20.80.79,10.224.123.85,172.16.34.168,172.16.22.168,,,,
192.168.10.169,南方中心机房,,,304-M06,U21,Dell R440,11NMNX2,5号节点,,windows 2019,10.20.80.201,10.224.123.86,172.16.34.169,172.16.22.169,,,,
192.168.10.177,南方中心机房,,,304-M01,U33-34,HPE DL380,CN70370RMI,5号节点,,Ubuntu18.04,10.20.80.208,10.224.123.87,172.16.34.177,,,,,
192.168.10.147,南方中心机房,,,304-M09,U28-29,Dell R740,CFDCD53,7号节点,,Ubuntu 16.04,10.20.80.32,10.224.123.177,172.16.34.147,172.16.22.147,,,,
192.168.10.149,南方中心机房,,,304-M11,U2-3,联想SR650,J301FX2Y,7号节点,,Windows 2016,10.20.80.34,10.224.123.179,172.16.34.149,172.16.22.149,,,,
192.168.10.150,南方中心机房,,,304-N05,U14-15,先智达：RS2U-X299/W,20200430AZ001,9号节点,,Centos7.6,10.20.80.50,10.224.124.236,172.16.34.150,172.16.22.150,,,,
192.168.10.151,南方中心机房,,,304-N05,U19-20,宝德 PR2620P,PR2620P2001190001,9号节点,,Centos7.5,10.20.80.51,10.224.124.237,172.16.34.151,172.16.22.151,,,,
192.168.10.152,南方中心机房,,,304-N05,U17-18,Dell R740,634C053,9号节点,,centos 7.4,10.20.80.53,10.224.124.238,172.16.34.152,172.16.22.152,,,,
192.168.10.153,南方中心机房,,,304-N05,U22-23,Dell R630,DN16VK2,9号节点,,windows2008,10.20.80.56,10.224.124.239,172.16.34.153,172.16.22.153,,,,
192.168.10.154,南方中心机房,,,304-N05,U25-26,先智达：RS2U-X299/W,20200420AZ000,9号节点,,centos 7,10.20.80.57,10.224.124.240,172.16.34.154,172.16.22.154,,,,
192.168.10.155,南方中心机房,,,304-N06,U20-21,腾闪HFT-91246F,kk18c2020010808,9号节点,,Centos7.6,10.20.80.61,10.224.124.241,172.16.34.155,172.16.22.155,,,,
192.168.10.156,南方中心机房,,,N06-U23,U23,IBM X3550 M5,J31DE5k,9号节点,,centos 7.4,10.20.80.62,10.224.124.242,172.16.34.156,172.16.22.156,,,,
192.168.10.157,南方中心机房,,,304-N06,U26-27,先智达RS2U-X299,20191110AZ001,9号节点,,centos7.6,10.20.80.63,10.224.124.243,172.16.34.157,172.16.22.157,,,,
192.168.10.158,南方中心机房,,,304-N05,U28-29,腾闪HFT-9126F,HX18C2019123006,9号节点,,centos7.6,10.20.80.64,10.224.124.244,172.16.34.158,172.16.22.158（已插线）,,,,
192.168.10.159,南方中心机房,,,304-N06,U29-30,正睿ZI1C6S9-12898RH,S28B08154912,9号节点,,Centos7.8,10.20.80.65,10.224.124.245,172.16.34.159,172.16.22.159,,,,
192.168.10.160,南方中心机房,,,304-N07,U34-35,Dell R730,8DVPTP2,9号节点,,windows 2016,10.20.80.66,10.224.124.246,172.16.34.160,172.16.22.160,,,,
192.168.10.161,南方中心机房,,,304-N07,U31-32,Dell R740,44MLV53,9号节点,,windows 2012,10.20.80.67,10.224.124.247,172.16.34.161,172.16.22.161,,,,
192.168.10.162,南方中心机房,,,304-N07,U28-29,LT-S213TB,LT-CBI20R0020002,9号节点,,Centos,10.20.80.68,10.224.124.248,172.16.34.162,172.16.22.162,,,,
192.168.10.170,南方中心机房,,,304-N08,U5-6,Supermicro 119U-7,S295906X8331897,9号节点,,,,10.224.124.253,172.16.22.170,,,,,
192.168.10.171,南方中心机房,,,304-N08,U2-3,blackcore BCHFT-1PC,X0338275,9号节点,,,,10.224.124.254,172.16.34.171,172.16.22.171,,,,
192.168.10.172,南方中心机房,,,304-N02,U23-24,超微91846f,2019042100002,10号节点,,Centos7.6,10.20.80.202,10.224.124.70,172.16.34.172,172.16.22.172,,,,
192.168.10.173,南方中心机房,,,304-N02,U26-27,先智达 RSX11DPIN-2U,20200314AZ003,10号节点,,Centos7.6,10.20.80.203,10.224.124.71,172.16.34.173,172.16.22.173,,,,
192.168.9.144,技术大厦机房,,,803-2 F1-03,U26-27,Supermicro HFT-91246F,HB18C2020010208,6号节点,,,,220.89.147.144,201.89.147.144,,,,,
192.168.9.145,技术大厦机房,,,803-2 F1-03,U23-24,Supermicro HFT-91246F,HB18C2020010206,6号节点,,,,220.89.147.145,201.89.147.145,,,,,
192.168.9.146,技术大厦机房,,,803-2 E2-14,U33-34,Tensend HFT-9850,TS8C2020021906,6号节点,,centos7.6,10.20.9.146,220.89.147.146,201.89.147.146,,,,,
10.188.82.16,宛平路机房,,,E08,U27,Lenovo,J339WW3,4号节点,,WINDOWS7,,,,,,,,
10.188.82.22,宛平路机房,,虚拟机,虚拟机,,,,4号节点,回收,Centos7.6,,,,,,,,
10.188.82.21,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,windows2012,10.188.106.214,,,,,,,
10.188.82.32,宛平路机房,,虚拟机,虚拟机,,,,4号节点,回收,centos7.4,,,,,,,,
10.188.82.33,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,windows2012,,,,,,,,
10.188.82.34,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,windows2012,,,,,,,,
10.188.82.35,宛平路机房,,虚拟机,虚拟机,,,,4号节点,回收,windows2012,10.188.106.217,,,,,,,
10.188.82.36,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,LINUX,10.188.106.216,,,,,,,
10.188.82.37,宛平路机房,,虚拟机,虚拟机,,,,4号节点,可共用,windows2012,10.188.106.207,,,,,,,
10.188.82.38,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,LINUX-》window2016,10.188.106.238,,,,,,,
10.188.82.39,宛平路机房,,虚拟机,虚拟机,,,,4号节点,回收,LINUX,10.188.106.239,,,,,,,
10.188.82.40,宛平路机房,,,E09,U13,IBM,7944IPP-99C6053,4号节点,,centos7.5-》windows》windows2012,10.188.106.218,,,,,,,
10.188.82.41,宛平路机房,,,E03,U25,HP dl20gen10,CN79270948,4号节点,,centos7.6,10.188.106.130,,,,,,,
10.188.82.42,宛平路机房,,,E09,U31,IBM,06YVL87,4号节点,,centos7.6,10.188.106.220,,,,,,,
10.188.82.43,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,,,,,,,,,
10.188.82.44,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,,10.188.106.221,,,,,,,
10.188.82.45,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,,,,,,,,,
10.188.82.46,宛平路机房,,,E02,U5,Lenovo s-4,J31DE5G,4号节点,,,10.188.106.222,,,,,,,
10.188.82.47,宛平路机房,,,E03,U14-15,Dell R740,309XGZ2,4号节点,,centos7.6,10.188.106.224,,,,,,,
10.188.82.48,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Ubuntu 16.04 LTS,10.188.106.225,,,,,,,
10.188.82.49,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,window2016,10.188.106.226,,,,,,,
10.188.82.50,宛平路机房,,,E03,U20-21,HP dl380gen10,6CU82478D7,4号节点,,centos7.6,10.188.106.227,,,,,,,
